siteCode,cityName,cityCode,cityEnName,siteName,siteEnName,countryCode,countryName,countryEnName,siteType
"ZD81720","撒尔","CPVLN","","阿米尔卡-卡布拉尔国际机场","/","CPV","佛得角","Cape Verde","1"
"ZD73447","纳迪","FJIMJ","","纳迪机场","/","FJI","斐济","Fiji","1"
"ZD61981","奥蓬","PHL6373","Lapu-Lapu City","麦克坦宿务国际机场","/","PHL","菲律宾","Philippines","1"
"ZD20957","马尼拉","PHLMNL","Manila","马尼拉机场","","PHL","菲律宾","Philippines","1"
"ZD66104","达沃市","PHL6357","Davao City","达沃国际机场","/","PHL","菲律宾","Philippines","1"
"ZD60659","帕皮提","PYFMJ","","帕皮提法阿国际机场","/","PYF","法属玻里尼西亚","French Polynesia","1"
"ZD42360","巴黎","FRAPAR","Paris","戴高乐机场","","FRA","法国","France","1"
"ZD26528","图卢兹","FRATLS","Toulouse","图卢兹机场","","FRA","法国","France","1"
"ZD37361","尼斯","FRANCE","","尼斯机场","","FRA","法国","France","1"
"ZD00198","蒙彼利埃","FRA3207","Montpellier","蒙彼利埃机场","/","FRA","法国","France","1"
"ZD76444","巴黎","FRAPAR","Paris","奥利机场","","FRA","法国","France","1"
"ZD66935","西摩","ECUFX","","西摩机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD72059","圣克里斯托巴尔岛","ECUDC","","圣克里斯托巴尔岛机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD47128","洛哈","ECUQS","","洛哈机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD51360","昆卡","ECUVE","","昆卡机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD20430","科卡","ECUQW","","科卡机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD62454","基多","ECUAM","","基多机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD07686","瓜亚基尔","ECUOX","","瓜亚基尔机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD29298","曼塔","ECUUW","","埃洛伊艾法罗国际机场","/","ECU","厄瓜多尔","Ecuador","1"
"ZD86641","圣多明各","DOMUV","","亚美利加国际机场","/","DOM","多米尼加","Dominican Republic","1"
"ZD93106","萨马纳","DOMGY","","萨马纳机场","/","DOM","多米尼加","Dominican Republic","1"
"ZD65801","普拉塔港","DOMHW","","普拉塔机场","/","DOM","多米尼加","Dominican Republic","1"
"ZD91462","拉罗马纳","DOMAD","","拉罗马纳机场","/","DOM","多米尼加","Dominican Republic","1"
"ZD47059","伊圭","DOMWI","","卡纳角机场","/","DOM","多米尼加","Dominican Republic","1"
"ZD62055","纽伦堡","DEUNUE","Nuremberg","纽伦堡机场","","DEU","德国","Germany","1"
"ZD96206","慕尼黑","DEUMUC","Munich","慕尼黑机场","","DEU","德国","Germany","1"
"ZD34934","格雷文","DEU2153","Ochtrup","明斯特奥斯纳布吕克国际机场","/","DEU","德国","Germany","1"
"ZD58651","莱比锡","DEU2457","Hettstedt","莱比锡哈雷机场","/","DEU","德国","Germany","1"
"ZD58392","科隆","DEUCGN","Cologne","科隆机场","","DEU","德国","Germany","1"
"ZD16151","汉诺威","DEUHAJ","Hanover","汉诺威机场","","DEU","德国","Germany","1"
"ZD94639","汉堡","DEUHH","Hamburg","汉堡国际机场","","DEU","德国","Germany","1"
"ZD89685","法兰克福","DEUFFO","Frankfurt","法兰克福国际机场","","DEU","德国","Germany","1"
"ZD99704","杜塞尔多夫","DEUDUS","Dusseldorf","杜塞尔多夫机场","","DEU","德国","Germany","1"
"ZD36258","不来梅哈芬","DEU2329","Norden","不来梅机场","/","DEU","德国","Germany","1"
"ZD76817","柏林","DEUBE","Berlin","柏林-勃兰登堡国际机场","/","DEU","德国","Germany","1"
"ZD07354","奥尔堡","DNK2588","Aalborg","奥尔堡机场","/","DNK","丹麦","Denmark","1"
"ZD18886","哈博罗内","BWAMS","","塞雷茨·哈马爵士国际机场","/","BWA","博茨瓦纳","Botswana","1"
"ZD22591","卡萨内","BWADM","","卡萨内机场","/","BWA","博茨瓦纳","Botswana","1"
